design_range_nm,spec_energy_whkg,converged,run_id,objective_value,MTOW_kg,MTOW_lb,fuel_burn_kg,fuel_burn_lb,fuel_mileage_lb_per_nmi,W_battery_kg,S_ref_m2,cruise_hybridization,climb_hybridization,descent_hybridization,electric_percent,engine_rating_hp,motor_rating_hp,generator_rating_hp,MTOW_margin_lb,rotate_range_ft,Vstall_kn,SOC_final,doc_per_nmi,wall_time_s,error,start_name,starts_tried
300.0,250.0,True,run-20260503T181153-9148fadf,215.7189502611949,5700.0,12566.334,158.71895026119495,349.9149721248356,1.1663832404161183,1524.8086571362735,34.03668610461674,0.552010905324645,0.6681324937151915,0.0100000004102105,55.201090532464505,460.76798425332106,652.4727599017881,446.9449447257175,-1.078528839570936e-07,1356.9999995925405,41.99999999901029,-1.2169304938747239e-09,,221.2999741620152,,low,"high=OK(215.719),low=OK(215.719)"
300.0,300.0,True,run-20260503T181532-c8e9d953,179.4708213886649,5700.0,12566.334,122.4708213886649,270.0016222498784,0.9000054074995946,1594.884545652145,34.03668610300117,0.6598915111747241,0.7478808747797018,0.2233112626764861,65.98915111747242,350.0445782326773,652.47275987104,339.54324088570377,4.882781468040776e-07,1357.00000000108,42.00000000000707,-1.245067590693871e-09,,112.23156563701924,,high,"high=OK(179.471),low=OK(179.471)"
300.0,350.0,True,run-20260503T181835-87f16d4c,139.9210431264442,5700.0,12566.334,82.9210431264442,182.8093900974214,0.6093646336580714,1670.1361772617315,34.03668610299589,0.7699725766640735,0.8293769681309073,0.4753000430716105,76.99725766640735,236.91018091391388,652.472759871131,229.8028754860081,1.3536082406062633e-06,1357.0000000003947,42.00000000001033,-2.8323962619758447e-09,,163.50803503100178,,high,"low=OK(139.921),high=OK(139.921)"
300.0,400.0,True,run-20260503T182030-a82d6ac0,95.92263822624278,5699.999999999991,12566.33399999998,38.92263822624287,85.80962668633954,0.2860320889544651,1756.4351445084064,34.03668610301589,0.8921091547242489,0.9200643096448616,0.7542146786607582,89.21091547242489,111.20428599620656,652.4727598710822,107.8681574163006,-4.46368630946381e-07,1356.999999999774,41.999999999997954,7.791174094773368e-10,,158.73842317200615,,low,"low=OK(95.923),high=OK(95.923)"
300.0,450.0,True,run-20260503T182308-090305de,55.70715061175676,5548.428708673075,12232.176899714832,0.2228635250260143,0.4913293845428516,0.0016377646151428,1745.4492984384456,33.131601109131466,0.999,0.999,1.0,99.9,1.3552871455722442,635.2809798344034,1.314628531223977,-1.1809788702521472e-08,1356.999999998528,41.99999999999998,-1.1052414539136636e-10,,200.3748469690036,,low,"high=OK(55.707),low=OK(55.707)"
300.0,500.0,True,run-20260503T182620-7bd5b47b,51.01502690435694,5081.059826608993,11201.806114938716,0.2044286382670094,0.4506874644962144,0.0015022915483207,1442.142783354448,30.3407786647181,0.999,0.999,1.0,99.9,1.241941371563744,582.2220006110663,1.2046831495683274,-5.342826625565067e-09,1357.0000000084428,42.00000000000302,-1.3585521596581884e-12,,189.79517193799256,,low,"high=OK(51.015),low=OK(51.015)"
300.0,550.0,True,run-20260503T182903-4ce2d01b,47.72121388674929,4752.965406754015,10478.482595038036,0.1915598192091429,0.4223166086248605,0.0014077220287495,1229.0462510062027,28.381612562837645,0.999,0.999,1.0,99.9,1.1641268341335962,544.832095178344,1.1292030428940665,-7.534708856837824e-09,1356.9999999995416,41.99999999999864,-1.529332216421153e-14,,190.6434580149944,,low,"high=OK(48.073),low=OK(47.721)"
300.0,600.0,True,run-20260503T183122-325aacf7,45.28058931678971,4509.852485048062,9942.510985586658,0.1820644663090951,0.4013829637143572,0.0013379432123811,1071.0616669533151,26.929900597276244,0.999,0.999,1.0,99.9,1.1063653807863365,517.1053138892744,1.0731743841869892,-7.384187483694404e-09,1356.9999999993906,41.999999999999694,4.928002450554916e-13,,209.93969424499664,,low,"high=OK(45.281),low=OK(45.281)"
300.0,650.0,True,run-20260503T183444-924de2f3,43.72090274202869,4354.488864398249,9599.993240229664,0.1760140980462021,0.3880442008346181,0.0012934806694487,955.9627947917955,26.00217028361184,0.999,0.999,1.0,99.9,1.069399958176897,499.4084881203117,1.037317987056013,9.258155841962434e-08,1357.0000000140346,41.99999999999995,-1.091793322416379e-12,,178.22072101201047,,low,"high=X(nan),low=OK(43.721)"
300.0,700.0,True,run-20260503T183546-ffe0c70c,41.90372964615067,4173.474816427109,9200.926049791531,0.1689814818795807,0.3725399545813613,0.0012417998486045,852.3541643798367,24.921272330873062,0.999,0.999,1.0,99.9,1.026274309402469,478.8202709313882,1.0,4.787380021298304e-07,1357.0000001551,41.9999999999381,-6.16733331071373e-11,,192.5496204019873,,low,"low=OK(41.904),high=OK(41.904)"
300.0,750.0,True,run-20260503T183859-a5c46189,40.68618742313391,4052.190851187144,8933.540994344197,0.164278911262487,0.3621725733475041,0.0012072419111583,773.4701725469646,24.19704351427326,0.999,0.999,1.0,99.9,1.000000000067996,465.04025632687234,1.0000000000000395,5.138645065017045e-10,1356.999999999975,41.99999999999981,5.181965967437918e-14,,219.21823823900195,,low,"high=X(nan),low=OK(40.686)"
300.0,800.0,True,run-20260503T184238-6fd9cc12,40.16225771187164,4000.0000219952826,8818.48004849124,0.1622574919188121,0.3577161118340516,0.0011923870394468,716.2336806453866,23.885393908858724,0.999,0.999,1.0,99.9,13.930274498704245,459.111313902436,1.00001591197381,3.1195271578933443,1356.999593968004,41.99999998152177,-2.563610221051338e-07,,139.49264503299491,,high,"low=OK(40.162),high=OK(40.162)"
350.0,250.0,True,run-20260503T184342-e137eda5,263.38700305164554,4000.0,8818.48,223.3870030516456,492.4834546677187,1.4070955847649107,277.9925313767384,23.88539375653867,0.0106321869018678,0.2667408897105767,0.01,1.063218690186782,722.1742208558941,459.1112837151728,700.5089942302011,-4.108376288058936e-07,1356.9999999964884,41.999999999966086,7.193224262763698e-09,,163.4590260190016,,low,"low=OK(263.387),high=X(nan)"
350.0,300.0,True,run-20260503T184626-f9f69cfc,241.2221861542092,5700.0,12566.334,184.2221861542092,406.1399160392926,1.1603997601122644,1495.86844327273,34.03668610301168,0.5408983937986017,0.6599238380284282,0.0100000015619181,54.08983937986017,472.1649620504206,652.4727598721031,458.0000131888947,2.1249284145596903e-06,1356.9999999897964,42.00000000000058,-5.8258271722413935e-09,,183.7106145719881,,low,"low=OK(241.222),high=OK(241.222)"
350.0,350.0,True,run-20260503T185046-5ab61c5f,204.5438083911057,5700.0,12566.334,147.5438083911057,325.2780308551994,0.9293658024434268,1563.885121117898,34.036686103004286,0.6412066694307603,0.7340609019517847,0.1792205356227963,64.12066694307603,369.2323586743239,652.4727598710786,358.1553879140909,4.111234375159256e-07,1357.00000000052,42.00000000000515,-9.174488807550674e-10,,109.0347508249979,,high,"low=OK(204.544),high=OK(204.544)"
350.0,400.0,True,run-20260503T185235-d634e295,164.90111335465716,5700.0,12566.334,107.90111335465716,237.88095252394425,0.6796598643541264,1634.5818097682209,34.036686103011235,0.7378689818844076,0.8055903453594914,0.40119139846101,73.78689818844076,269.92020264661176,652.4727598710544,261.8225965671686,8.765573511482216e-08,1357.0000000003229,42.00000000000086,-1.6375335809559743e-10,,153.72733776000678,,high,"low=OK(164.901),high=OK(164.901)"
350.0,450.0,True,run-20260503T185456-bfc78f0a,121.14657724160692,5700.0,12566.334,64.14657724160692,141.41882711839145,0.4040537917668327,1714.1384956489862,34.036686103391695,0.8442960589078617,0.8845877127869224,0.6448713218192411,84.42960589078618,160.4376251956264,652.4727598732774,155.62449613833135,-1.3589110494649503e-06,1356.9999999544962,41.999999999766125,-3.6204638453884996e-09,,192.69206048097112,,low,"high=OK(121.147),low=OK(121.147)"
