design_range_nm,spec_energy_whkg,converged,run_id,objective_value,MTOW_kg,MTOW_lb,fuel_burn_kg,fuel_burn_lb,fuel_mileage_lb_per_nmi,W_battery_kg,S_ref_m2,cruise_hybridization,climb_hybridization,descent_hybridization,electric_percent,engine_rating_hp,motor_rating_hp,generator_rating_hp,MTOW_margin_lb,rotate_range_ft,Vstall_kn,SOC_final,doc_per_nmi,wall_time_s,error
300.0,250.0,True,retry-warm-start,0.814464685554186,5694.679690270653,12554.604738764485,161.27836954774574,355.55751907235117,1.1851917302411705,1533.937839075895,34.00491667948319,0.5440649311123467,0.6676458464846101,0.014762348647664262,54.40649311123467,470.39102407570516,665.020546264586,456.2802179486993,807.5371930428919,4451.989951227083,81.64146868290327,-1.4325209421461871e-11,0.814464685554186,22.689902456011623,
300.0,300.0,True,retry-warm-start,0.7218228406707221,5695.6641776361175,12556.775159300136,125.22855679983311,276.08138089204806,0.9202712696401601,1601.199986055409,34.01079539689215,0.6511558420133117,0.7455413720533625,0.2237953310667701,65.11558420133116,360.20362910345705,665.1349711510521,349.4007116527675,811.5759873129509,4451.998596517308,81.6414686825241,-3.9941938645426944e-12,0.7218228406707221,23.26368775696028,
300.0,350.0,True,retry-warm-start,0.6020590502619181,5602.501201254859,12351.386198310485,61.12807618299855,134.76417931456226,0.44921393104854085,1822.5423423362695,33.45448680330927,0.7709365827605044,0.6945259513251328,0.9999999999999981,77.09365827605043,425.5413866075767,936.7369816006922,417.12064276345245,2.2600943339057267e-10,2015.6118818527898,81.64146868250538,-7.271960811294775e-13,0.6020590502619181,42.77187114401022,
300.0,400.0,True,retry-warm-start,0.5086184029428668,5696.082877713581,12557.698233864914,41.350746952113795,91.16268374556911,0.3038756124852304,1763.575682218637,34.013295600960284,0.8841327367422535,0.9153599859173316,0.7475396456428476,88.41327367422535,119.82230438640185,665.1948425096567,116.2299802419253,803.2712784737682,4451.641630362767,81.64146868250717,-1.8821139091684813e-11,0.5086184029428668,22.53067295299843,
300.0,450.0,True,retry-warm-start,0.3909287695046813,5536.453776922577,12205.77672567905,0.22486940912486467,0.4957515967448591,0.0016525053224828636,1763.2068836799222,33.06009461911454,0.999,0.9989999999999983,1.0,99.9,1.3770833602624422,669.1969586111646,3.035951608672434,730.9431811780369,3846.2947370562188,81.6414686825053,-5.086072188409396e-08,0.3909287695046813,52.18997764098458,
300.0,500.0,True,retry-warm-start,0.3479428654574022,5076.582298961261,11191.934867935974,1.5027916214697128,3.313084464524558,0.011043614881748527,1454.3121917548597,30.432539876322863,0.9926731541112458,0.9946297594382001,0.9969493025008412,99.26731541112459,6.7977549560710155,592.2874459546774,6.596856545668262,713.389928374766,4452.099737722598,81.48236605812387,-3.491540390143655e-11,0.3479428654574022,38.0569853670313,
300.0,550.0,True,retry-warm-start,0.3149853022958598,4749.055516310727,10469.862772368955,1.337572808795468,2.9488397657266643,0.009829465885755548,1240.464405632648,28.472157582638705,0.9932225217056088,0.9950260348511916,0.9966422019363138,99.32225217056087,5.9006658647666335,554.3075879337945,5.726488369182543,683.9133613694662,4452.099737815938,81.4780168084449,-4.5250747593428287e-11,0.3149853022958598,32.07567555300193,
300.0,600.0,True,retry-warm-start,0.2877918613644843,4503.869009148909,9929.319694949867,0.18416411451491826,0.40601189014187905,0.0013533729671395967,1084.2247859608833,26.894171177804903,0.999,0.9989999999999988,0.9999999999999994,99.9,1.5752177309595132,535.4441668810465,3.4998377902869717,656.3422371624952,4123.8720370818255,81.64146868250539,-5.0902976278521805e-11,0.2877918613644843,40.031146241002716,
300.0,650.0,True,retry-warm-start,0.2708247276868319,4349.469535218106,9588.927526732541,0.17812110468352874,0.3926893498074011,0.0013089644993580036,968.1144230776196,25.97219812014648,0.999,0.999,0.9999999999999988,99.9,2.2005670425948782,515.2385922160867,2.983701556336798,676.8143472563879,4193.8485901718495,81.64146868250539,-1.8685747393831775e-11,0.2708247276868319,36.01842414197745,
300.0,700.0,True,retry-warm-start,0.25439875448356525,4169.249858726773,9191.611623546218,0.17108266555589238,0.37717226613783145,0.0012572408871261047,863.5083080656386,24.896043636230335,0.999,0.999,0.9999999999999991,99.9,2.319407954257342,492.520104043251,2.8556986063124126,632.6330967947108,4250.884535276839,81.64146868250539,-1.9896584380063587e-12,0.25439875448356525,34.16393388999859,
300.0,750.0,True,retry-warm-start,0.2423149818064302,4048.576088346008,8925.571815889376,0.166374583153215,0.3667927335112408,0.0012226424450374695,783.7772226526505,24.175458506040457,0.999,0.9989999999999999,1.0,99.9,2.3689334928228307,477.1387103404924,2.7681459761132237,624.6905544186093,4298.768067398113,81.64146868213962,-9.602455488533224e-07,0.2423149818064302,28.425409644958563,
300.0,800.0,True,retry-warm-start,0.23592223615144775,4000.0,8818.48,0.16449359123883184,0.3626458611169534,0.0012088195370565113,726.4070129729556,23.8853937565001,0.999,0.9989999999999993,1.0,99.9,12.831597173416284,473.58363625663947,3.4161498601760734,663.7608666545727,4210.616399837194,81.64146868250538,-3.1912460163319167e-07,0.23592223615144775,37.11779877298977,
350.0,250.0,True,retry-warm-start,0.7100156835619922,4000.0,8818.48,226.03519491088133,498.32171140442716,1.4237763182983634,284.6885671644434,23.88539375648345,0.005664478184366842,0.27172042935501933,0.01535186389822293,0.5664478184366841,730.9321015815407,467.9565702348717,709.0048679408245,654.2952406750564,4452.099737555718,81.64146868253384,-2.2789062303907315e-13,0.7100156835619922,22.860152944980655,
350.0,300.0,True,retry-warm-start,0.7620805166913767,5695.220520245956,12555.797063344638,186.95609930137078,412.16715564178804,1.177620444690823,1503.586391691906,34.00814616401231,0.5340780214717704,0.6603866739474225,0.01534618359901489,53.407802147177044,480.7095343312558,665.0849501953945,466.2888133044892,812.0569598632155,4451.944992301106,81.64146868254282,-1.0590645548036459e-11,0.7620805166913767,23.095703042985406,
350.0,350.0,True,retry-warm-start,0.6823694494836848,5695.842643207992,12557.168608069203,150.4092861646485,331.59532046430735,0.9474152013265924,1569.7882844236499,34.01186107688617,0.6333651412610022,0.7325936495746485,0.18300482662049575,63.33651412610022,378.54354892541903,665.1568451894414,367.18888563653036,813.6070970841874,4451.96374783506,81.64146868266816,-9.312675630646083e-12,0.6823694494836848,21.124280698015355,
350.0,400.0,True,retry-warm-start,0.5965796418955327,5696.008915126364,12557.535174465884,110.60895121431338,243.85070602609954,0.6967163029317129,1640.8957015567,34.012853944468716,0.7302970460040568,0.8031730231274189,0.401896927546807,73.02970460040568,278.638472137553,665.1788575647638,270.28098641012394,810.7511103277579,4451.878732346403,81.64146868264139,-1.4625689548353193e-11,0.5965796418955327,22.872937889012974,
350.0,450.0,True,retry-warm-start,0.5020505554848178,5696.187084914906,12557.9279711451,66.70625551914713,147.06194504262214,0.4201769858360633,1720.7209724440215,34.01391785835611,0.8369987692378188,0.8809640436684515,0.6421082248652584,83.69987692378189,168.5185952993912,665.2028353346525,163.4661850580473,807.1348293885585,4451.775085502716,81.64146868264297,-2.1078749856684453e-11,0.5020505554848178,22.182608890056144,
350.0,500.0,True,retry-warm-start,0.37701340525242477,5654.2463426762215,12465.46457199085,0.2810112416185811,0.6195230034971562,0.001770065724277589,1891.4508734000697,33.76347507276803,0.9989999999999999,0.999,0.9999999999999998,99.89999999999999,118.71139331144622,807.5001923486892,116.01286904808677,402.530294507058,2483.047141021219,81.64146868250538,1.119197143711892e-06,0.37701340525242477,33.18899174395483,
350.0,550.0,True,retry-warm-start,0.3290513496230505,5326.9085077642285,11743.809034387172,0.3866010505224688,0.852308408002845,0.0024351668800081288,1622.514562156102,31.80882680262309,0.9986321365165922,0.999,0.9990348507295832,99.86321365165922,1.326379982534013,639.0180589037456,3.883901188946663,724.8182338452757,3959.9277230010534,81.6414686832454,2.833616674635664e-10,0.3290513496230505,39.06425339903217,
350.0,600.0,True,retry-warm-start,0.2981753860385621,4976.670638946803,10971.667624034899,0.24802058320244993,0.5467911381397851,0.0015622603946851001,1393.4000862488544,29.717434451914325,0.9989999999999929,0.9989999999999994,1.0,99.8999999999993,1.3088158393797262,595.3515024051403,3.634926882001687,695.7429797667869,4005.77117303476,81.64146868250538,-1.6448398199031544e-11,0.2981753860385621,41.720693006995134,
350.0,650.0,True,retry-warm-start,0.275226968205337,4714.405290906372,10393.472192438005,0.2354323533655468,0.5190388748767517,0.0014829682139335762,1221.1951776671303,28.15135667525653,0.998999999999997,0.9989999999999988,1.0,99.8999999999997,1.6960707704356315,561.5640747494169,3.5406536603774064,675.4899748424768,4083.372402920431,81.64146868250536,-9.57193491135655e-11,0.275226968205337,39.02713785402011,
350.0,700.0,True,retry-warm-start,0.25737639177185806,4510.437174626302,9943.800003924638,0.22567399521217923,0.49752540332467454,0.001421501152356213,1087.1235989308598,26.93339198247625,0.999,0.999,0.9999999999999956,99.9,2.0257235821363664,535.4485605943098,3.364939482417104,659.9759670979656,4149.702485044859,81.64146868250538,-1.8219814545972213e-11,0.25737639177185806,36.003001845034305,
350.0,750.0,True,retry-warm-start,0.24549498261481695,4348.986941655843,9587.863591313304,1.312200000776766,2.8929023657124735,0.008265435330607068,977.6326765895991,26.07267362806627,0.9943521321688159,0.995844327299803,0.9961320692895739,99.43521321688159,4.525220838233389,507.953917445425,4.39071770102717,651.8453675978371,4452.099737588602,81.47948651483168,-1.1056711102241934e-12,0.24549498261481695,22.4882084139972,
350.0,800.0,True,retry-warm-start,0.23358476431352415,4214.989230606263,9292.449557579179,1.2248496503787867,2.7003280362180804,0.007715222960623087,889.8748405562768,25.27032670102313,0.9947114556688672,0.996104053507416,0.9958047881218771,99.47114556688672,4.1150529122745185,492.3797195271811,3.9926133436747726,640.6903160330112,4452.099737614793,81.4778990705587,-1.4870604747585503e-12,0.23358476431352415,22.7419518759707,
400.0,250.0,True,retry-warm-start,0.693492939283599,4000.0,8818.48,252.7919405508944,557.3101679773127,1.393275419943282,380.7193847393095,23.885393756500097,0.001000000000000075,0.19798241558760876,0.33187270763552335,0.1000000000000075,804.9386795384853,565.6255845726083,782.0557207397007,237.91127195732565,2516.1992333495145,81.64146868250538,8.620870156628158e-08,0.693492939283599,31.044540423958097,
400.0,300.0,True,retry-warm-start,0.6884605425019251,4000.0,8818.48,260.56946939412785,574.4566636156821,1.4361416590392053,250.88193146123416,23.885393756499596,0.011770939163287485,0.27616710280279677,0.01611630409655884,1.1770939163287486,726.4692325142677,467.95657023524893,704.6755655236059,655.4723500155624,4452.099737533451,81.64146868250624,1.493596912816031e-14,0.6884605425019251,22.150621869950555,
400.0,350.0,True,retry-warm-start,0.7247906051544095,5695.5789522651585,12556.587269742813,213.75629388414578,471.25140062286545,1.1781285015571636,1472.5415244235314,34.01028648652303,0.5235786532520554,0.6527560091088762,0.015919296855324446,52.357865325205545,491.5405193469415,665.1286771940149,476.7947115476365,815.0329458146052,4451.881607577877,81.64146868250403,-8.280496947843385e-12,0.7247906051544095,23.25258476502495,
400.0,400.0,True,retry-warm-start,0.654709641972482,5695.987257854982,12557.487428412249,176.76054340638694,389.68982920458876,0.9742245730114719,1537.8058254954133,34.01272462144099,0.6169205830110922,0.7206281443375807,0.14499948971852586,61.69205830110922,395.4918197960361,665.174767585675,383.62798187358874,815.2134433596552,4451.929158690153,81.64146868253826,-8.46820530364667e-12,0.654709641972482,21.952286690007895,
400.0,450.0,True,retry-warm-start,0.5801856194390174,5696.127104277254,12557.795736631719,136.8802138792191,301.768857122404,0.7544221428060099,1605.3738203076643,34.013559693164005,0.7033422435601732,0.783537827913246,0.3408280754569686,70.33422435601732,306.4412540719052,665.193023522001,297.24895066745586,812.8080728866462,4451.865961346634,81.64146868252904,-1.1153397649898977e-11,0.5801856194390174,22.328455366019625,
400.0,500.0,True,retry-warm-start,0.49842388990593284,5696.274520380386,12558.120733121006,93.0939135372401,205.23670366247023,0.5130917591561756,1680.4712662282475,34.01443996608393,0.7980425974945561,0.8525510483987957,0.5546814806939392,79.80425974945561,208.7458426890213,665.212456024332,202.48444638167012,809.8760612545311,4451.79328659835,81.64146868252595,-1.3930578912635383e-11,0.49842388990593284,21.148881619039457,
400.0,550.0,True,retry-warm-start,0.3688765864690852,5607.988945609631,12363.484589269903,6.987265540604693,15.404265356127917,0.03851066339031979,1918.240419062314,33.48725603699645,0.999,0.9434169922771231,1.0,99.9,256.93134768429366,966.8264809705248,251.0439678885499,5.050842446507886e-07,1955.7368773408762,81.64146868250539,9.646707599397786e-10,0.3688765864690852,38.56853542098543,
400.0,600.0,True,retry-warm-start,0.316390900473831,5559.249648111993,12256.032959220662,0.3265541290637611,0.7199277640165489,0.0017998194100413722,1773.7306178814194,33.196216708959874,0.999,0.9989999999999998,1.0,99.9,1.5802119978887164,668.8565125383931,3.223017740912119,745.0303146212023,3914.953194762446,81.6414686825054,-1.237134283904595e-10,0.316390900473831,34.69317939301254,
400.0,650.0,True,retry-warm-start,0.2874262885101268,5190.201057118127,11442.421054543765,0.3054558606194828,0.6734140994389242,0.0016835352485973104,1531.9469394352345,30.99249898116737,0.999,0.9989999999999997,1.0,99.9,1.9334523942598312,621.4231759549216,3.1917650512844653,715.684570475089,3990.537455055302,81.64146868250539,-1.2677073280009665e-10,0.2874262885101268,37.85946062597213,
400.0,700.0,True,retry-warm-start,0.2654843650257126,4910.8528945746275,10826.564508437114,0.28957309237046835,0.6383986309017818,0.0015959965772544547,1348.8108546057917,29.324413766790784,0.9989999999999988,0.999,1.0,99.89999999999988,1.8592741901844352,585.6498637178431,3.571783730579215,694.0044738534721,4058.7655309707684,81.64146868250542,-1.3783924002197523e-10,0.2654843650257126,40.14176138001494,
400.0,750.0,True,retry-warm-start,0.24833307784614436,4691.777863164984,10343.587312690786,0.27716693517853197,0.6110477686332951,0.0015276194215832377,1205.120302361245,28.016240419931577,0.9989999999999986,0.998999999999999,1.0,99.89999999999985,2.381597409851485,557.8174756100943,3.117084628151903,676.2516492593268,4117.0389359303035,81.64146868250538,-4.230227279578003e-12,0.24833307784614436,39.68026697897585,
400.0,800.0,True,retry-warm-start,0.23704169947340353,4517.4487393885165,9959.25783983071,1.6075693325635223,3.544079501956192,0.00886019875489048,1086.9011233142103,27.0755839021032,0.9941795891393175,0.9957233364049305,0.9966033025388955,99.41795891393174,4.832475207577504,527.5344928569696,4.688594115656701,668.433956042436,4452.099737580741,81.49007484968976,-8.102407633714392e-13,0.23704169947340353,22.7261837219703,
450.0,250.0,True,retry-warm-start,0.6896821818821508,4000.0,8818.48,285.56520717017725,629.5627670315162,1.399028371181147,410.3295491696055,23.885393756500108,0.001,0.05554217112422633,0.6264349630484558,0.1,947.8977220482458,577.2558530352812,922.2120224622582,8.024414910323685e-08,2417.353031101065,81.64146868250536,4.651942497879702e-09,0.6896821818821508,87.46732394199353,
450.0,300.0,True,retry-warm-start,0.6839010708174104,4026.8726198471913,8877.723915167515,300.8127720712473,663.1778535637131,1.473728563474918,230.5711279910283,24.045859533069574,0.001,0.2672535002283779,0.013876047055646903,0.1,740.2297121235961,471.10137068518617,718.0237241883459,644.1349624795939,4451.7801004374405,81.64146868252278,-2.4146263113977717e-10,0.6839010708174104,23.34489643701818,
450.0,350.0,True,retry-warm-start,0.7575636283085738,5695.633378660801,12556.707259263174,276.9251879293483,610.5148078127997,1.3566995729173328,1374.155074195032,34.01061059507156,0.410896429742214,0.5709238972211388,0.016452819917622784,41.089642974221405,607.3834368485956,665.1311533315268,589.1622102294237,819.2556407355414,4452.006171092544,81.64146975122246,3.609817092811718e-09,0.7575636283085738,20.41441299795406,
450.0,400.0,True,retry-warm-start,0.6721354527111818,5591.4717414929355,12327.070430730155,210.65436728677233,464.412831207764,1.0320285137950311,1587.739005362718,33.38862605597552,0.4009222413040663,0.5255658300509244,1.0,40.09222413040663,659.646696617777,958.9517201529015,642.5023505669062,1.0500116331968457e-09,1965.3882105364303,81.64146868250538,-5.014488824173213e-12,0.6721354527111818,36.35069859697251,
450.0,450.0,True,retry-warm-start,0.6350576088596795,5696.106851179647,12557.751086247672,204.35861319997045,450.5330858329188,1.001184635184264,1504.94941411876,34.01343875487962,0.6012570260781183,0.7092331669736391,0.10851195752436801,60.125702607811824,411.6314831630075,665.1892509056003,399.28304073575856,816.5200346073984,4451.911437401013,81.64146868250697,-7.453527378631364e-12,0.6350576088596795,21.59285627299687,
450.0,500.0,True,retry-warm-start,0.5691984585696155,5696.226609218135,12558.015107214484,164.4102936138242,362.4622215069091,0.8054716033486868,1569.7195186280867,34.01415387185772,0.6792579448008004,0.7659991740770435,0.2859090967186164,67.92579448008004,331.276008645766,665.2053365439915,321.3382465171145,814.4522756203141,4451.842771254,81.6414686825047,-8.924680439115207e-12,0.5691984585696155,20.69540034199599,
