design_range_nm,spec_energy_whkg,fuel_mileage_lb_per_nmi,fuel_mileage_lb_per_nmi_halfwidth,fuel_mileage_lb_per_nmi_colour_err,doc_per_nmi,doc_per_nmi_halfwidth,doc_per_nmi_colour_err,electric_percent,electric_percent_halfwidth,electric_percent_colour_err,MTOW_lb,MTOW_lb_halfwidth,MTOW_lb_colour_err
375.0,450.0,0.601541,0.005814,1.0,0.587436,0.010522,11.18,71.891771,0.291198,1.0,12573.769939,13.810789,0.0
375.0,500.0,0.334099,0.005814,1.0,0.487481,0.009469,0.0,84.70448,0.291198,1.0,12573.769939,13.810789,0.0
375.0,550.0,0.037588,0.005814,1.41,0.362273,0.010522,0.0,98.390782,0.291198,1.41,12573.769939,13.810789,0.0
375.0,600.0,0.014332,0.005814,5.1,0.337022,0.010522,0.0,99.555574,0.291198,2.24,11758.933409,13.810789,1.0
375.0,650.0,0.014332,0.005814,5.1,0.31177,0.010522,0.0,99.555574,0.291198,2.24,11068.393977,13.810789,1.0
375.0,700.0,0.014332,0.005814,5.1,0.286518,0.010522,0.0,99.555574,0.291198,2.24,10557.394798,13.810789,1.0
375.0,750.0,0.014332,0.005814,5.1,0.26337,0.010522,0.0,99.555574,0.291198,2.24,10115.449561,13.810789,1.0
375.0,800.0,0.014332,0.005814,5.1,0.26337,0.010522,0.0,99.555574,0.291198,2.24,9783.990634,13.810789,0.0
400.0,250.0,1.444564,0.005814,1.41,0.688444,0.010522,5.1,4.333853,0.291198,1.0,8582.452023,13.810789,1.0
400.0,300.0,1.415495,0.005814,1.0,0.688444,0.010522,0.0,5.207447,0.291198,1.41,8554.830445,13.810789,1.0
400.0,350.0,1.403867,0.005814,1.41,0.688444,0.010522,0.0,6.081041,0.291198,1.0,8513.398079,13.810789,1.0
400.0,400.0,1.386425,0.005814,0.0,0.688444,0.010522,0.0,7.53703,0.291198,0.0,8499.587291,13.810789,1.41
400.0,450.0,0.764332,0.005814,1.0,0.612688,0.010522,0.0,65.194219,0.291198,1.41,12573.769939,13.810789,0.0
400.0,500.0,0.52596,0.005814,1.0,0.536932,0.010522,0.0,75.968542,0.291198,1.41,12573.769939,13.810789,0.0
400.0,550.0,0.258518,0.005814,1.41,0.438029,0.010522,0.0,88.198855,0.291198,1.73,12573.769939,13.810789,0.0
400.0,600.0,0.014332,0.005814,5.1,0.337022,0.010522,0.0,99.555574,0.291198,2.24,12435.662052,13.810789,1.73
400.0,650.0,0.014332,0.005814,5.1,0.31177,0.010522,0.0,99.555574,0.291198,2.24,11620.825523,13.810789,2.0
400.0,700.0,0.014332,0.005814,5.1,0.286518,0.010522,0.0,99.555574,0.291198,2.24,11013.150823,13.810789,1.0
400.0,750.0,0.014332,0.005814,5.1,0.26337,0.010522,0.0,99.555574,0.291198,2.24,10557.394798,13.810789,1.41
400.0,800.0,0.014332,0.005814,5.1,0.26337,0.010522,0.0,99.555574,0.291198,2.24,10143.071139,13.810789,1.41
425.0,250.0,1.456192,0.005814,1.73,0.688444,0.010522,0.0,3.751457,0.291198,0.0,8651.505966,13.810789,1.0
425.0,300.0,1.444564,0.005814,1.41,0.688444,0.010522,0.0,5.207447,0.291198,1.41,8637.695177,13.810789,1.41
425.0,350.0,1.415495,0.005814,1.0,0.688444,0.010522,0.0,5.789843,0.291198,1.41,8623.884389,13.810789,1.41
425.0,400.0,1.403867,0.005814,1.41,0.688444,0.010522,0.0,6.372239,0.291198,0.0,8596.262811,13.810789,1.0
425.0,450.0,0.892239,0.005814,1.0,0.63794,0.010522,0.0,59.079062,0.291198,0.0,12573.769939,13.810789,0.0
425.0,500.0,0.671309,0.005814,1.41,0.562184,0.010522,0.0,68.979792,0.291198,1.0,12573.769939,13.810789,0.0
425.0,550.0,0.444564,0.005814,1.0,0.487481,0.009469,0.0,79.462917,0.291198,1.73,12573.769939,13.810789,0.0
425.0,600.0,0.177123,0.005814,1.0,0.387525,0.010522,0.0,91.69323,0.291198,1.41,12573.769939,13.810789,0.0
425.0,650.0,0.014332,0.005814,5.1,0.31177,0.010522,0.0,99.555574,0.291198,2.24,12242.311011,13.810789,1.41
425.0,700.0,0.014332,0.005814,5.1,0.286518,0.010522,0.0,99.555574,0.291198,2.24,11510.339214,13.810789,1.0
425.0,750.0,0.014332,0.005814,5.1,0.26337,0.010522,0.0,99.555574,0.291198,2.24,10957.907668,13.810789,1.0
425.0,800.0,0.014332,0.005814,5.1,0.26337,0.010522,0.0,99.555574,0.291198,2.24,10515.962432,13.810789,1.41
450.0,250.0,1.46782,0.005814,1.0,0.688444,0.010522,0.0,3.751457,0.291198,0.0,8748.181486,13.810789,1.0
450.0,300.0,1.456192,0.005814,1.73,0.688444,0.010522,0.0,4.625051,0.291198,1.0,8706.74912,13.810789,1.41
450.0,350.0,1.444564,0.005814,1.41,0.688444,0.010522,0.0,5.207447,0.291198,1.41,8692.938332,13.810789,1.41
450.0,400.0,1.421309,0.005814,0.0,0.688444,0.010522,0.0,6.081041,0.291198,1.0,8665.316754,13.810789,0.0
450.0,450.0,1.014332,0.005814,1.0,0.663192,0.010522,0.0,53.8375,0.291198,1.0,12573.769939,13.810789,0.0
450.0,500.0,0.810843,0.005814,1.0,0.612688,0.010522,6.71,62.864635,0.291198,1.0,12573.769939,13.810789,0.0
450.0,550.0,0.601541,0.005814,1.0,0.511681,0.010522,13.75,72.474167,0.291198,1.73,12573.769939,13.810789,0.0
450.0,600.0,0.368983,0.005814,1.0,0.438029,0.010522,0.0,83.24849,0.291198,1.41,12573.769939,13.810789,0.0
450.0,650.0,0.101541,0.005814,1.41,0.362273,0.010522,0.0,95.187605,0.291198,0.0,12573.769939,13.810789,0.0
450.0,700.0,0.014332,0.005814,5.1,0.31177,0.010522,10.0,99.555574,0.291198,2.24,12076.581548,13.810789,1.73
450.0,750.0,0.014332,0.005814,5.1,0.286518,0.010522,0.0,99.555574,0.291198,2.24,11413.663693,13.810789,1.0
450.0,800.0,0.014332,0.005814,5.1,0.26337,0.010522,0.0,99.555574,0.291198,2.24,10888.853725,13.810789,1.0
475.0,250.0,1.491076,0.005814,1.41,0.688444,0.010522,0.0,3.460259,0.291198,1.0,8817.235429,13.810789,1.41
475.0,300.0,1.46782,0.005814,1.0,0.688444,0.010522,0.0,4.333853,0.291198,1.0,8803.424641,13.810789,1.0
475.0,350.0,1.456192,0.005814,1.73,0.688444,0.010522,0.0,5.207447,0.291198,1.41,8775.803064,13.810789,1.0
475.0,400.0,1.444564,0.005814,1.41,0.688444,0.010522,0.0,6.081041,0.291198,1.0,8748.181486,13.810789,1.0
475.0,450.0,1.421309,0.005814,0.0,0.663192,0.010522,0.0,6.663437,0.291198,0.0,8734.370698,13.810789,1.0
475.0,500.0,0.932936,0.005814,1.0,0.63794,0.010522,6.0,57.331875,0.291198,0.0,12573.769939,13.810789,0.0
475.0,550.0,0.741076,0.005814,0.0,0.562184,0.010522,0.0,65.776615,0.291198,1.0,12573.769939,13.810789,0.0
475.0,600.0,0.531774,0.005814,1.73,0.487481,0.009469,0.0,75.677344,0.291198,1.41,12573.769939,13.810789,0.0
475.0,650.0,0.293402,0.005814,1.41,0.412777,0.010522,0.0,86.451667,0.291198,1.73,12573.769939,13.810789,0.0
475.0,700.0,0.037588,0.005814,1.41,0.31177,0.010522,0.0,98.390782,0.291198,1.41,12573.769939,13.810789,0.0
475.0,750.0,0.014332,0.005814,5.1,0.286518,0.010522,0.0,99.555574,0.291198,2.24,11952.28445,13.810789,1.41
475.0,800.0,0.014332,0.005814,5.1,0.26337,0.010522,0.0,99.555574,0.291198,2.24,11358.420539,13.810789,1.41
500.0,250.0,1.514332,0.005814,1.41,0.688444,0.010522,0.0,3.460259,0.291198,1.0,8913.91095,13.810789,1.0
500.0,300.0,1.49689,0.005814,1.41,0.688444,0.010522,0.0,4.333853,0.291198,1.0,8886.289373,13.810789,1.0
500.0,350.0,1.479448,0.005814,1.41,0.688444,0.010522,0.0,5.207447,0.291198,1.41,8844.857007,13.810789,1.0
500.0,400.0,1.462006,0.005814,2.0,0.688444,0.010522,0.0,5.789843,0.291198,1.41,8844.857007,13.810789,1.0
500.0,450.0,1.450378,0.005814,1.73,0.663192,0.010522,0.0,6.372239,0.291198,0.0,8817.235429,13.810789,1.41
500.0,500.0,1.043402,0.005814,0.0,0.663192,0.010522,8.72,52.38151,0.291198,0.0,12573.769939,13.810789,0.0
500.0,550.0,0.868983,0.005814,1.0,0.587436,0.010522,0.0,60.535052,0.291198,1.0,12573.769939,13.810789,0.0
500.0,600.0,0.671309,0.005814,1.41,0.536932,0.010522,19.6,69.27099,0.291198,0.0,12573.769939,13.810789,0.0
500.0,650.0,0.462006,0.005814,1.41,0.463281,0.010522,0.0,78.880521,0.291198,2.24,12573.769939,13.810789,0.0
500.0,700.0,0.21782,0.005814,1.0,0.387525,0.010522,11.05,89.363646,0.291198,1.41,12573.769939,13.810789,0.0
500.0,750.0,0.014332,0.005814,5.1,0.286518,0.010522,0.0,99.555574,0.291198,2.24,12490.905207,13.810789,1.0
500.0,800.0,0.014332,0.005814,5.1,0.26337,0.010522,0.0,99.555574,0.291198,2.24,11814.176564,13.810789,1.0
525.0,250.0,1.52596,0.005814,1.0,0.688444,0.010522,0.0,2.877864,0.291198,1.41,8969.154104,13.810789,1.41
525.0,300.0,1.514332,0.005814,1.41,0.688444,0.010522,0.0,3.751457,0.291198,0.0,8955.343316,13.810789,1.0
525.0,350.0,1.49689,0.005814,1.41,0.688444,0.010522,0.0,4.625051,0.291198,1.0,8955.343316,13.810789,1.41
525.0,400.0,1.479448,0.005814,1.41,0.688444,0.010522,0.0,5.207447,0.291198,1.41,8927.721739,13.810789,1.0
