design_range_nm,spec_energy_whkg,fuel_mileage_lb_per_nmi,fuel_mileage_lb_per_nmi_halfwidth,fuel_mileage_lb_per_nmi_colour_err,doc_per_nmi,doc_per_nmi_halfwidth,doc_per_nmi_colour_err,electric_percent,electric_percent_halfwidth,electric_percent_colour_err,MTOW_lb,MTOW_lb_halfwidth,MTOW_lb_colour_err
300.0,250.0,1.151026,0.044826,0.0,0.854153,0.002035,1.73,45.978349,0.290722,1.41,12573.769939,13.810789,0.0
300.0,300.0,0.947814,0.044826,0.0,0.762571,0.002035,1.0,57.607219,0.290722,1.0,12573.769939,13.810789,0.0
300.0,350.0,0.648974,0.044826,0.0,0.654708,0.002035,1.41,70.689698,0.290722,1.41,12573.769939,13.810789,0.0
300.0,400.0,0.350133,0.044826,0.0,0.532599,0.002035,0.0,85.807229,0.290722,1.73,12573.769939,13.810789,0.0
300.0,450.0,0.054281,0.041838,0.0,0.416595,0.002035,1.0,99.471152,0.290722,2.24,12394.229686,13.810789,1.0
300.0,500.0,0.054281,0.041838,0.0,0.367751,0.002035,1.0,99.471152,0.290722,2.24,11358.420539,13.810789,1.41
300.0,550.0,0.054281,0.041838,0.0,0.333154,0.002035,1.0,99.471152,0.290722,2.24,10598.827164,13.810789,0.0
300.0,600.0,0.054281,0.041838,0.0,0.308732,0.002035,1.0,99.471152,0.290722,2.24,10115.449561,13.810789,1.0
300.0,650.0,0.054281,0.041838,0.0,0.294486,0.002035,1.0,99.471152,0.290722,2.24,9922.09852,13.810789,1.0
300.0,700.0,0.054281,0.041838,0.0,0.274134,0.002035,1.41,99.471152,0.290722,2.24,9328.234609,13.810789,1.0
300.0,750.0,0.054281,0.041838,0.0,0.259888,0.002035,1.0,99.471152,0.290722,2.24,9065.829625,13.810789,1.41
300.0,800.0,0.054281,0.041838,0.0,0.251748,0.002035,0.0,99.471152,0.290722,2.24,8844.857007,13.810789,1.0
325.0,250.0,1.348261,0.044826,0.0,0.711692,0.002035,2.0,5.277303,0.290722,1.41,8320.047039,13.810789,0.0
325.0,300.0,1.04942,0.044826,0.0,0.780888,0.002035,1.41,51.502062,0.290722,1.41,12573.769939,13.810789,0.0
325.0,350.0,0.852186,0.044826,5.2,0.691341,0.002035,1.41,63.130933,0.290722,0.0,12573.769939,13.810789,0.0
325.0,400.0,0.550357,0.041838,0.0,0.585513,0.002035,1.0,75.92269,0.290722,1.41,12573.769939,13.810789,0.0
325.0,450.0,0.248528,0.044826,0.0,0.473579,0.002035,0.0,90.458777,0.290722,1.41,12573.769939,13.810789,0.0
325.0,500.0,0.054281,0.041838,0.0,0.377927,0.002035,0.0,99.471152,0.290722,2.24,12131.824702,13.810789,1.41
325.0,550.0,0.054281,0.041838,0.0,0.337224,0.002035,1.0,99.471152,0.290722,2.24,11234.123441,13.810789,1.0
325.0,600.0,0.054281,0.041838,0.0,0.308732,0.002035,1.0,99.471152,0.290722,2.24,10598.827164,13.810789,1.0
325.0,650.0,0.054281,0.041838,0.0,0.290415,0.002035,1.41,99.471152,0.290722,2.24,10115.449561,13.810789,1.0
325.0,700.0,0.054281,0.041838,0.0,0.274134,0.002035,1.41,99.471152,0.290722,2.24,9701.125902,13.810789,1.0
325.0,750.0,0.054281,0.041838,0.0,0.259888,0.002035,1.0,99.471152,0.290722,2.24,9397.288552,13.810789,1.41
325.0,800.0,0.054281,0.041838,0.0,0.245642,0.002035,0.0,99.471152,0.290722,2.24,9176.315934,13.810789,1.41
350.0,250.0,1.348261,0.044826,0.0,0.721868,0.002035,1.41,5.277303,0.290722,1.41,8485.776502,13.810789,1.41
