fig,design_range_nm,spec_energy_whkg,source,metric,value,ref,ref_value,ref_halfwidth,err,rel_err,tol,within_tol
5,350.0,700.0,truth,fuel_mileage_lb_per_nmi,0.0014069262918626128,paper,0.054281,0.041838,-0.05287407370813739,-0.974080685841038,0.061838000000000004,True
5,350.0,750.0,truth,fuel_mileage_lb_per_nmi,0.0013577726244407248,paper,0.054281,0.041838,-0.05292322737555928,-0.9749862267747329,0.061838000000000004,True
5,350.0,800.0,truth,fuel_mileage_lb_per_nmi,0.0013176235542492476,paper,0.054281,0.041838,-0.052963376445750755,-0.9757258791428078,0.061838000000000004,True
5,375.0,250.0,truth,fuel_mileage_lb_per_nmi,1.4309778146457466,paper,1.449867,0.044826,-0.018889185354253435,-0.013028219384435562,0.07382334,True
5,375.0,300.0,truth,fuel_mileage_lb_per_nmi,1.2660742741530582,paper,1.249643,0.041838,0.016431274153058117,0.013148774612475817,0.06683086,True
5,375.0,350.0,truth,fuel_mileage_lb_per_nmi,1.052795550805686,paper,1.04942,0.044826,0.0033755508056860783,0.0032165870725601553,0.0658144,True
5,375.0,400.0,truth,fuel_mileage_lb_per_nmi,0.8296441708906965,paper,0.852186,0.044826,-0.02254182910930347,-0.0264517712204888,0.064826,True
5,375.0,450.0,truth,fuel_mileage_lb_per_nmi,0.5851712531401698,paper,0.648974,0.044826,-0.06380274685983023,-0.09831325578502409,0.064826,True
5,375.0,500.0,truth,fuel_mileage_lb_per_nmi,0.31413251820066623,paper,0.350133,0.044826,-0.036000481799333794,-0.10281944803641414,0.064826,True
5,375.0,550.0,truth,fuel_mileage_lb_per_nmi,0.001794297224099205,paper,0.054281,0.041838,-0.0524867027759008,-0.9669442857703578,0.061838000000000004,True
5,375.0,600.0,truth,fuel_mileage_lb_per_nmi,0.0016627305847635298,paper,0.054281,0.041838,-0.05261826941523647,-0.9693680922465774,0.061838000000000004,True
5,375.0,650.0,truth,fuel_mileage_lb_per_nmi,0.001566394726339743,paper,0.054281,0.041838,-0.05271460527366026,-0.9711428542889824,0.061838000000000004,True
5,375.0,700.0,truth,fuel_mileage_lb_per_nmi,0.0014927281030990439,paper,0.054281,0.041838,-0.05278827189690096,-0.9724999888893159,0.061838000000000004,True
5,375.0,750.0,truth,fuel_mileage_lb_per_nmi,0.001444409612573538,paper,0.054281,0.041838,-0.05283659038742646,-0.973390143649278,0.061838000000000004,True
5,375.0,800.0,truth,fuel_mileage_lb_per_nmi,0.0013874657863629613,paper,0.054281,0.041838,-0.052893534213637045,-0.9744391999712062,0.061838000000000004,True
5,400.0,250.0,truth,fuel_mileage_lb_per_nmi,1.453142549403031,paper,1.449867,0.044826,0.003275549403030986,0.002259206812094479,0.07382334,True
5,400.0,300.0,truth,fuel_mileage_lb_per_nmi,1.4205103401800383,paper,1.449867,0.044826,-0.029356659819961717,-0.02024782950433503,0.07382334,True
5,400.0,350.0,truth,fuel_mileage_lb_per_nmi,1.1621877931070173,paper,1.151026,0.044826,0.011161793107017148,0.00969725541127407,0.06784652,True
