design_range_nm,spec_energy_whkg,objective,converged,feasible,start_name,starts_tried,objective_value,mixed_objective_kg,doc_per_nmi,trip_doc_usd,MTOW_kg,MTOW_lb,fuel_burn_kg,fuel_burn_lb,fuel_mileage_lb_per_nmi,W_battery_kg,W_battery_lb,S_ref_m2,S_ref_ft2,cruise_hybridization,climb_hybridization,descent_hybridization,electric_percent,electric_energy_frac,battery_energy_frac,engine_rating_hp,motor_rating_hp,generator_rating_hp,W_fuel_max_kg,OEW_kg,MTOW_margin_lb,rotate_range_ft,Vstall_kn,SOC_final,engineoutclimb_gamma,max_constraint_violation,n_iter,wall_time_s,error,src_objective,src_start_name,src_converged,assumed
300.0,250.0,fuel,True,True,rescore,rescore,215.7189502614806,215.7189502614806,0.8194360220302451,245.83080660907353,5700.0,12566.34894426,158.7189502614806,349.9153882548091,1.1663846275160303,1524.8086571362735,3361.6276594391084,34.03668610461674,366.3678401117632,0.552010905324645,0.6681324937151915,0.0100000004102105,55.201090532464505,0.469412144603376,0.16741334262604474,460.76798425332106,652.4727599017881,446.9449447257175,500.0,3562.8800226514527,-1.0848179954336956e-07,4452.099733374189,81.64146868058155,-1.2051715233413196e-09,0.03061689677424786,1.0848179954336956e-07,nan,5.763542413711548,,215.7189502611949,low,True,W_fuel_max=500kg
300.0,300.0,fuel,True,True,rescore,rescore,179.47082138888302,179.47082138888302,0.7264885830415118,217.9465749124535,5700.0,12566.34894426,122.47082138888302,270.00194334435884,0.9000064778145295,1594.884545652145,3516.118548503934,34.03668610300117,366.3678400943734,0.6598915111747241,0.7478808747797018,0.2233112626764861,65.98915111747242,0.5910625101585977,0.2464650402184803,350.0445782326773,652.47275987104,339.54324088570377,500.0,3529.052262737711,4.877979336015414e-07,4452.099734714376,81.64146868251913,-1.2360846651793267e-09,0.030616896768277994,1.2360846651793267e-09,nan,5.786633253097534,,179.4708213886649,high,True,W_fuel_max=500kg
300.0,350.0,fuel,True,True,rescore,rescore,139.9210431265916,139.9210431265916,0.6258068041308641,187.7420412392592,5700.0,12566.34894426,82.92104312659161,182.80960750013728,0.6093653583337909,1670.1361772617315,3682.0199978777882,34.03668610299589,366.3678400943165,0.7699725766640735,0.8293769681309073,0.4753000430716105,76.99725766640735,0.7234578009946903,0.3711429157027959,236.91018091391388,652.472759871131,229.8028754860081,500.0,3493.350408997838,1.3532830962503795e-06,4452.09973471217,81.64146868252547,-2.825367356740216e-09,0.030616896768288323,2.825367356740216e-09,nan,4.297580003738403,,139.9210431264442,high,True,W_fuel_max=500kg
300.0,400.0,fuel,True,True,rescore,rescore,95.92263822631216,95.92263822631216,0.5140091667646359,154.20275002939076,5699.999999999991,12566.34894425998,38.922638226312245,85.8097287338654,0.2860324291128847,1756.4351445084064,3872.2766533077847,34.03668610301589,366.36784009453174,0.8921091547242489,0.9200643096448616,0.7542146786607582,89.21091547242489,0.8703697742414753,0.6017850780918041,111.20428599620656,652.4727598710822,107.8681574163006,500.0,3451.049847467811,-4.4652142605627887e-07,4452.099734709146,81.64146868250141,7.846663874211401e-10,0.03061689676829546,4.4652142605627887e-07,nan,4.189911842346191,,95.92263822624278,low,True,W_fuel_max=500kg
300.0,450.0,fuel,True,True,rescore,rescore,55.70715061175836,55.70715061175836,0.4013969921043593,120.41909763130778,5548.428708673075,12232.191446585222,0.22286352502761542,0.49132996884997143,0.001637766562833238,1745.4492984384456,3848.0570085423365,33.131601109131466,356.6255863008516,0.999,0.999,1.0,99.9,0.9992389299274327,0.9966223408861833,1.3552871455722442,635.2809798344034,1.314628531223977,500.0,3349.1641766521666,1.2662167137023062e-07,4452.09973058555,81.64146868250535,-9.922937471706916e-11,0.03060443079576959,9.922937471706916e-11,nan,4.5607750415802,,55.70715061175676,low,True,W_fuel_max=500kg
300.0,500.0,fuel,True,True,rescore,rescore,51.01502690437519,51.01502690437519,0.35447122760149236,106.3413682804477,5081.059826608993,11201.819436461372,0.204428638285266,0.450688000507467,0.00150229333502489,1442.142783354448,3179.3806040488325,30.3407786647181,326.58542352024324,0.9990000000000001,0.999,1.0,99.9,0.9992396330619798,0.9966250973903682,1.241941371563744,582.2220006110663,1.2046831495683274,500.0,3185.1202445987665,3.856575858662836e-08,4452.0996543514875,81.64146868251126,1.3348053218287248e-10,0.030561455680304345,2.1039600507680718e-08,nan,4.509196043014526,,51.01502690435694,low,True,W_fuel_max=500kg
300.0,550.0,fuel,True,True,rescore,rescore,47.72121388679143,47.72121388679143,0.321527090011217,96.45812700336509,4752.965406754015,10478.49505636274,0.1915598192512845,0.42231711094930097,0.0014077237031643365,1229.0462510062027,2709.5831682067555,28.381612562837645,305.49713510814763,0.9990000000000001,0.999,1.0,99.9,0.9992400700065776,0.9966265683270763,1.1641268341335962,544.832095178344,1.1292030428940665,500.0,3070.1352258532243,1.6608919395366684e-07,4452.099528530749,81.64146868250276,3.4017033634370364e-10,0.030509983772549636,1.2211697059871405e-08,nan,4.5559468269348145,,47.72121388674929,low,True,W_fuel_max=500kg
300.0,600.0,fuel,True,True,rescore,rescore,45.28058931690101,45.28058931690101,0.29711818268564827,89.13545480569448,4509.852485048062,9942.522809517903,0.18206446642039298,0.40138344129634485,0.0013379448043211494,1071.0616669533151,2361.2867803080962,26.929900597276244,289.87103755997913,0.999,0.999,1.0,99.9,0.9992403510276744,0.9966274510146262,1.1063653807863365,517.1053138892744,1.0731743841869892,500.0,2985.0163835877784,8.939332474255934e-08,4452.099152164448,81.64146868250481,9.733644446008327e-10,0.030469710601492887,3.5795088499843697e-08,nan,4.629971265792847,,45.28058931678971,low,True,W_fuel_max=500kg
300.0,650.0,fuel,True,True,rescore,rescore,43.72090274202869,43.72090274202869,0.27995492468326694,83.98647740498008,4354.488864398249,9600.00465682857,0.17601409804620222,0.3880446623083806,0.0012934822076946018,955.9627947917955,2107.5372029971436,26.00217028361184,279.88503157282946,0.999,0.999,1.0,99.9,0.9992405072629786,0.9966279645524591,1.069399958176897,499.4084881203117,1.037317987056013,500.0,2930.6593793052666,31.08144478519398,4452.099737578425,81.6414686825053,-1.0915990333870695e-12,0.030449631456360034,1.579432293320008e-08,nan,5.18389892578125,,43.72090274202869,low,True,W_fuel_max=500kg
300.0,700.0,fuel,True,True,rescore,rescore,41.90372964615067,41.90372964615067,0.26335213467278457,79.00564040183536,4173.474816427109,9200.936991807806,0.1689814818795809,0.37254039761701085,0.0012418013253900362,852.3541643798367,1879.1192725772237,24.921272330873062,268.2503428399443,0.999,0.999,1.0,99.9,0.9992406628460155,0.996628522591787,1.026274309402469,478.8202709313882,1.0,500.0,2867.359300239541,7.183789421105757e-07,4452.099738040969,81.64146868238507,-6.167197308393213e-11,0.03043456729968379,2.410334492783389e-07,nan,5.076898097991943,,41.90372964615067,low,True,W_fuel_max=500kg
